date,hour,depth,value,variable,siteID
2021-01-01,11,0.3,NA,temperature,SUGG
2021-01-01,11,0.55,NA,temperature,SUGG
2021-01-01,11,0.8,NA,temperature,SUGG
2021-01-01,11,1.05,NA,temperature,SUGG
2021-01-01,12,0.05,NA,temperature,SUGG
2021-01-01,12,0.3,NA,temperature,SUGG
2021-01-01,12,0.55,NA,temperature,SUGG
2021-01-01,12,0.8,NA,temperature,SUGG
2021-01-01,12,1.05,NA,temperature,SUGG
2021-01-01,12,0.05,NA,temperature,SUGG
2021-01-01,12,0.3,NA,temperature,SUGG
2021-01-01,12,0.55,NA,temperature,SUGG
2021-01-01,12,0.8,NA,temperature,SUGG
2021-01-01,12,1.05,NA,temperature,SUGG
2021-01-01,13,0.05,NA,temperature,SUGG
2021-01-01,13,0.3,NA,temperature,SUGG
2021-01-01,13,0.55,NA,temperature,SUGG
2021-01-01,13,0.8,NA,temperature,SUGG
2021-01-01,13,1.05,NA,temperature,SUGG
2021-01-01,13,0.05,NA,temperature,SUGG
2021-01-01,13,0.3,NA,temperature,SUGG
2021-01-01,13,0.55,NA,temperature,SUGG
2021-01-01,13,0.8,NA,temperature,SUGG
2021-01-01,13,1.05,NA,temperature,SUGG
2021-01-01,14,0.05,NA,temperature,SUGG
2021-01-01,14,0.3,NA,temperature,SUGG
2021-01-01,14,0.55,NA,temperature,SUGG
2021-01-01,14,0.8,NA,temperature,SUGG
2021-01-01,14,1.05,NA,temperature,SUGG
2021-01-01,14,0.05,NA,temperature,SUGG
2021-01-01,14,0.3,NA,temperature,SUGG
2021-01-01,14,0.55,NA,temperature,SUGG
2021-01-01,14,0.8,NA,temperature,SUGG
2021-01-01,14,1.05,NA,temperature,SUGG
2021-01-01,15,0.05,NA,temperature,SUGG
2021-01-01,15,0.3,NA,temperature,SUGG
2021-01-01,15,0.55,NA,temperature,SUGG
2021-01-01,15,0.8,NA,temperature,SUGG
2021-01-01,15,1.05,NA,temperature,SUGG
2021-01-01,15,0.05,NA,temperature,SUGG
2021-01-01,15,0.3,NA,temperature,SUGG
2021-01-01,15,0.55,NA,temperature,SUGG
2021-01-01,15,0.8,NA,temperature,SUGG
2021-01-01,15,1.05,NA,temperature,SUGG
2021-01-01,16,0.05,NA,temperature,SUGG
2021-01-01,16,0.3,NA,temperature,SUGG
2021-01-01,16,0.55,NA,temperature,SUGG
2021-01-01,16,0.8,NA,temperature,SUGG
2021-01-01,16,1.05,NA,temperature,SUGG
2021-01-01,16,0.05,NA,temperature,SUGG
2021-01-01,16,0.3,NA,temperature,SUGG
2021-01-01,16,0.55,NA,temperature,SUGG
2021-01-01,16,0.8,NA,temperature,SUGG
2021-01-01,16,1.05,NA,temperature,SUGG
2021-01-01,17,0.05,NA,temperature,SUGG
2021-01-01,17,0.3,NA,temperature,SUGG
2021-01-01,17,0.55,NA,temperature,SUGG
2021-01-01,17,0.8,NA,temperature,SUGG
2021-01-01,17,1.05,NA,temperature,SUGG
2021-01-01,17,0.05,NA,temperature,SUGG
2021-01-01,17,0.3,NA,temperature,SUGG
2021-01-01,17,0.55,NA,temperature,SUGG
2021-01-01,17,0.8,NA,temperature,SUGG
2021-01-01,17,1.05,NA,temperature,SUGG
2021-01-01,18,0.05,NA,temperature,SUGG
2021-01-01,18,0.3,NA,temperature,SUGG
2021-01-01,18,0.55,NA,temperature,SUGG
2021-01-01,18,0.8,NA,temperature,SUGG
2021-01-01,18,1.05,NA,temperature,SUGG
2021-01-01,18,0.05,NA,temperature,SUGG
2021-01-01,18,0.3,NA,temperature,SUGG
2021-01-01,18,0.55,NA,temperature,SUGG
2021-01-01,18,0.8,NA,temperature,SUGG
2021-01-01,18,1.05,NA,temperature,SUGG
2021-01-01,19,0.05,NA,temperature,SUGG
2021-01-01,19,0.3,NA,temperature,SUGG
2021-01-01,19,0.55,NA,temperature,SUGG
2021-01-01,19,0.8,NA,temperature,SUGG
2021-01-01,19,1.05,NA,temperature,SUGG
2021-01-01,19,0.05,NA,temperature,SUGG
2021-01-01,19,0.3,NA,temperature,SUGG
2021-01-01,19,0.55,NA,temperature,SUGG
2021-01-01,19,0.8,NA,temperature,SUGG
2021-01-01,19,1.05,NA,temperature,SUGG
2021-01-01,20,0.05,NA,temperature,SUGG
2021-01-01,20,0.3,NA,temperature,SUGG
2021-01-01,20,0.55,NA,temperature,SUGG
2021-01-01,20,0.8,NA,temperature,SUGG
2021-01-01,20,1.05,NA,temperature,SUGG
2021-01-01,20,0.05,NA,temperature,SUGG
2021-01-01,20,0.3,NA,temperature,SUGG
2021-01-01,20,0.55,NA,temperature,SUGG
2021-01-01,20,0.8,NA,temperature,SUGG
2021-01-01,20,1.05,NA,temperature,SUGG
2021-01-01,21,0.05,NA,temperature,SUGG
2021-01-01,21,0.3,NA,temperature,SUGG
2021-01-01,21,0.55,NA,temperature,SUGG
2021-01-01,21,0.8,NA,temperature,SUGG
2021-01-01,21,1.05,NA,temperature,SUGG
2021-01-01,21,0.05,NA,temperature,SUGG
2021-01-01,21,0.3,NA,temperature,SUGG
2021-01-01,21,0.55,NA,temperature,SUGG
2021-01-01,21,0.8,NA,temperature,SUGG
2021-01-01,21,1.05,NA,temperature,SUGG
2021-01-01,22,0.05,NA,temperature,SUGG
2021-01-01,22,0.3,NA,temperature,SUGG
2021-01-01,22,0.55,NA,temperature,SUGG
2021-01-01,22,0.8,NA,temperature,SUGG
2021-01-01,22,1.05,NA,temperature,SUGG
2021-01-01,22,0.05,NA,temperature,SUGG
2021-01-01,22,0.3,NA,temperature,SUGG
2021-01-01,22,0.55,NA,temperature,SUGG
2021-01-01,22,0.8,NA,temperature,SUGG
2021-01-01,22,1.05,NA,temperature,SUGG
2021-01-01,23,0.05,NA,temperature,SUGG
2021-01-01,23,0.3,NA,temperature,SUGG
2021-01-01,23,0.55,NA,temperature,SUGG
2021-01-01,23,0.8,NA,temperature,SUGG
2021-01-01,23,1.05,NA,temperature,SUGG
2021-01-01,23,0.05,NA,temperature,SUGG
2021-01-01,23,0.3,NA,temperature,SUGG
2021-01-01,23,0.55,NA,temperature,SUGG
2021-01-01,23,0.8,NA,temperature,SUGG
2021-01-01,23,1.05,NA,temperature,SUGG
2021-01-02,0,0.05,NA,temperature,SUGG
2021-01-02,0,0.3,NA,temperature,SUGG
2021-01-02,0,0.55,NA,temperature,SUGG
2021-01-02,0,0.8,NA,temperature,SUGG
2021-01-02,0,1.05,NA,temperature,SUGG
2021-01-02,0,0.05,NA,temperature,SUGG
2021-01-02,0,0.3,NA,temperature,SUGG
2021-01-02,0,0.55,NA,temperature,SUGG
2021-01-02,0,0.8,NA,temperature,SUGG
2021-01-02,0,1.05,NA,temperature,SUGG
2021-01-02,1,0.05,NA,temperature,SUGG
2021-01-02,1,0.3,NA,temperature,SUGG
2021-01-02,1,0.55,NA,temperature,SUGG
2021-01-02,1,0.8,NA,temperature,SUGG
2021-01-02,1,1.05,NA,temperature,SUGG
2021-01-02,1,0.05,NA,temperature,SUGG
2021-01-02,1,0.3,NA,temperature,SUGG
2021-01-02,1,0.55,NA,temperature,SUGG
2021-01-02,1,0.8,NA,temperature,SUGG
2021-01-02,1,1.05,NA,temperature,SUGG
2021-01-02,2,0.05,NA,temperature,SUGG
2021-01-02,2,0.3,NA,temperature,SUGG
2021-01-02,2,0.55,NA,temperature,SUGG
2021-01-02,2,0.8,NA,temperature,SUGG
2021-01-02,2,1.05,NA,temperature,SUGG
2021-01-02,2,0.05,NA,temperature,SUGG
2021-01-02,2,0.3,NA,temperature,SUGG
2021-01-02,2,0.55,NA,temperature,SUGG
2021-01-02,2,0.8,NA,temperature,SUGG
2021-01-02,2,1.05,NA,temperature,SUGG
2021-01-02,3,0.05,NA,temperature,SUGG
2021-01-02,3,0.3,NA,temperature,SUGG
2021-01-02,3,0.55,NA,temperature,SUGG
2021-01-02,3,0.8,NA,temperature,SUGG
2021-01-02,3,1.05,NA,temperature,SUGG
2021-01-02,3,0.05,NA,temperature,SUGG
2021-01-02,3,0.3,NA,temperature,SUGG
2021-01-02,3,0.55,NA,temperature,SUGG
2021-01-02,3,0.8,NA,temperature,SUGG
2021-01-02,3,1.05,NA,temperature,SUGG
2021-01-02,4,0.05,NA,temperature,SUGG
2021-01-02,4,0.3,NA,temperature,SUGG
2021-01-02,4,0.55,NA,temperature,SUGG
2021-01-02,4,0.8,NA,temperature,SUGG
2021-01-02,4,1.05,NA,temperature,SUGG
2021-01-02,4,0.05,NA,temperature,SUGG
2021-01-02,4,0.3,NA,temperature,SUGG
2021-01-02,4,0.55,NA,temperature,SUGG
2021-01-02,4,0.8,NA,temperature,SUGG
2021-01-02,4,1.05,NA,temperature,SUGG
2021-01-02,5,0.05,NA,temperature,SUGG
2021-01-02,5,0.3,NA,temperature,SUGG
2021-01-02,5,0.55,NA,temperature,SUGG
2021-01-02,5,0.8,NA,temperature,SUGG
2021-01-02,5,1.05,NA,temperature,SUGG
2021-01-02,5,0.05,NA,temperature,SUGG
2021-01-02,5,0.3,NA,temperature,SUGG
2021-01-02,5,0.55,NA,temperature,SUGG
2021-01-02,5,0.8,NA,temperature,SUGG
2021-01-02,5,1.05,NA,temperature,SUGG
2021-01-02,6,0.05,NA,temperature,SUGG
2021-01-02,6,0.3,NA,temperature,SUGG
2021-01-02,6,0.55,NA,temperature,SUGG
2021-01-02,6,0.8,NA,temperature,SUGG
2021-01-02,6,1.05,NA,temperature,SUGG
2021-01-02,6,0.05,NA,temperature,SUGG
2021-01-02,6,0.3,NA,temperature,SUGG
2021-01-02,6,0.55,NA,temperature,SUGG
2021-01-02,6,0.8,NA,temperature,SUGG
2021-01-02,6,1.05,NA,temperature,SUGG
2021-01-02,7,0.05,NA,temperature,SUGG
2021-01-02,7,0.3,NA,temperature,SUGG
2021-01-02,7,0.55,NA,temperature,SUGG
2021-01-02,7,0.8,NA,temperature,SUGG
2021-01-02,7,1.05,NA,temperature,SUGG
2021-01-02,7,0.05,NA,temperature,SUGG
2021-01-02,7,0.3,NA,temperature,SUGG
2021-01-02,7,0.55,NA,temperature,SUGG
2021-01-02,7,0.8,NA,temperature,SUGG
2021-01-02,7,1.05,NA,temperature,SUGG
2021-01-02,8,0.05,NA,temperature,SUGG
2021-01-02,8,0.3,NA,temperature,SUGG
2021-01-02,8,0.55,NA,temperature,SUGG
2021-01-02,8,0.8,NA,temperature,SUGG
2021-01-02,8,1.05,NA,temperature,SUGG
2021-01-02,8,0.05,NA,temperature,SUGG
2021-01-02,8,0.3,NA,temperature,SUGG
2021-01-02,8,0.55,NA,temperature,SUGG
2021-01-02,8,0.8,NA,temperature,SUGG
2021-01-02,8,1.05,NA,temperature,SUGG
2021-01-02,9,0.05,NA,temperature,SUGG
2021-01-02,9,0.3,NA,temperature,SUGG
2021-01-02,9,0.55,NA,temperature,SUGG
2021-01-02,9,0.8,NA,temperature,SUGG
2021-01-02,9,1.05,NA,temperature,SUGG
2021-01-02,9,0.05,NA,temperature,SUGG
2021-01-02,9,0.3,NA,temperature,SUGG
2021-01-02,9,0.55,NA,temperature,SUGG
2021-01-02,9,0.8,NA,temperature,SUGG
2021-01-02,9,1.05,NA,temperature,SUGG
2021-01-02,10,0.05,NA,temperature,SUGG
2021-01-02,10,0.3,NA,temperature,SUGG
2021-01-02,10,0.55,NA,temperature,SUGG
2021-01-02,10,0.8,NA,temperature,SUGG
2021-01-02,10,1.05,NA,temperature,SUGG
2021-01-02,10,0.05,NA,temperature,SUGG
2021-01-02,10,0.3,NA,temperature,SUGG
2021-01-02,10,0.55,NA,temperature,SUGG
2021-01-02,10,0.8,NA,temperature,SUGG
2021-01-02,10,1.05,NA,temperature,SUGG
2021-01-02,11,0.05,NA,temperature,SUGG
2021-01-02,11,0.3,NA,temperature,SUGG
2021-01-02,11,0.55,NA,temperature,SUGG
2021-01-02,11,0.8,NA,temperature,SUGG
2021-01-02,11,1.05,NA,temperature,SUGG
2021-01-02,11,0.05,NA,temperature,SUGG
2021-01-02,11,0.3,NA,temperature,SUGG
2021-01-02,11,0.55,NA,temperature,SUGG
2021-01-02,11,0.8,NA,temperature,SUGG
2021-01-02,11,1.05,NA,temperature,SUGG
2021-01-02,12,0.05,NA,temperature,SUGG
2021-01-02,12,0.3,NA,temperature,SUGG
2021-01-02,12,0.55,NA,temperature,SUGG
2021-01-02,12,0.8,NA,temperature,SUGG
2021-01-02,12,1.05,NA,temperature,SUGG
2021-01-02,12,0.05,NA,temperature,SUGG
2021-01-02,12,0.3,NA,temperature,SUGG
2021-01-02,12,0.55,NA,temperature,SUGG
2021-01-02,12,0.8,NA,temperature,SUGG
2021-01-02,12,1.05,NA,temperature,SUGG
2021-01-02,13,0.05,NA,temperature,SUGG
2021-01-02,13,0.3,NA,temperature,SUGG
2021-01-02,13,0.55,NA,temperature,SUGG
2021-01-02,13,0.8,NA,temperature,SUGG
2021-01-02,13,1.05,NA,temperature,SUGG
2021-01-02,13,0.05,NA,temperature,SUGG
