Depth_meter,Area_meterSquared
0,1489515.25
1,1417009.76
2,1297368.07
3,1180883.92
4,1046153.79
5,908155.19
6,783952.79
7,668348.83
8,563945.13
9,472129.95
10,386009.69
11,328676.84
12,276429.67
13,227951.14
14,186518.29
15,146444.98
16,110846.58
17,83819.98
18,56592.74
19,33401.97
20,19945.55
21,11489.26
22,7415.33
23,4304.13
24,2495.59
25,95.45
25.3,95.45
25.4,0
