Depth_meter,Area_meterSquared
0,119733.14
0.8,110733.24
1.3,101733.34
1.8,87672.69
2.3,73612.06
2.8,66851.66
3.3,60091.27
3.8,55807.51
4.3,51523.74
4.8,45689.51
5.3,39855.27
5.8,33107.17
6.2,26359.09
6.3,0
