depth,temp
0,0.8
0.1,0.8
1,0.8
2,0.8
3,0.8
4,0.8
5,0.7
6,0.5
7,0.4
8,0.3
9,0.3
10,0.3
11,0.3
12,0.3
13,0.3
14,0.3
15,0.3
16,0.3
17,0.3
18,0.3
19,0.3
