Depth_meter,Area_meterSquared
0,109852.4999
0.1,108733.8
0.5,105615.0383
1,101046.2741
1.5,79410.32286
2,46503.32333
2.5,27.30382676
3,8.416914247
3.5,2.526010063
4,0.059721988
4.1,0
